instance,method,best_energy,reference_best,gap_percent,mean_runtime,feasible_runs,runs
large_01,NN,4708.145,3944.793,19.351,0.001,1,1
large_01,MILP,,3944.793,,0.000,0,1
large_01,B&B,,3944.793,,0.000,0,1
large_01,GA,4193.027,3944.793,6.293,0.906,3,3
large_01,SA,3944.793,3944.793,0.000,0.755,3,3
large_02,NN,7054.496,4634.773,52.208,0.001,1,1
large_02,MILP,,4634.773,,0.000,0,1
large_02,B&B,,4634.773,,0.000,0,1
large_02,GA,5047.356,4634.773,8.902,2.606,3,3
large_02,SA,4634.773,4634.773,0.000,2.410,3,3
large_03,NN,8183.511,6912.986,18.379,0.002,1,1
large_03,MILP,,6912.986,,0.000,0,1
large_03,B&B,,6912.986,,0.000,0,1
large_03,GA,7001.076,6912.986,1.274,10.461,3,3
large_03,SA,6912.986,6912.986,0.000,10.802,3,3
medium_01,NN,2862.768,1965.733,45.634,0.000,1,1
medium_01,MILP,1965.733,1965.733,0.000,60.197,1,1
medium_01,B&B,,1965.733,,0.000,0,1
medium_01,GA,1965.733,1965.733,0.000,0.877,3,3
medium_01,SA,1965.733,1965.733,0.000,0.801,3,3
medium_02,NN,3714.182,3214.620,15.540,0.000,1,1
medium_02,MILP,3241.345,3214.620,0.831,60.254,1,1
medium_02,B&B,,3214.620,,0.000,0,1
medium_02,GA,3214.620,3214.620,0.000,0.877,3,3
medium_02,SA,3214.620,3214.620,0.000,0.945,3,3
medium_03,NN,4610.362,2644.661,74.327,0.000,1,1
medium_03,MILP,2644.661,2644.661,0.000,60.170,1,1
medium_03,B&B,,2644.661,,0.000,0,1
medium_03,GA,2732.180,2644.661,3.309,1.884,3,3
medium_03,SA,2644.661,2644.661,0.000,1.530,3,3
small_01,NN,1623.985,1328.980,22.198,0.000,1,1
small_01,MILP,1328.980,1328.980,0.000,1.755,1,1
small_01,B&B,1328.980,1328.980,0.000,0.003,1,1
small_01,GA,1328.980,1328.980,0.000,0.190,3,3
small_01,SA,1328.980,1328.980,0.000,0.184,3,3
small_02,NN,2129.003,1745.307,21.984,0.000,1,1
small_02,MILP,1745.307,1745.307,0.000,1.836,1,1
small_02,B&B,1745.307,1745.307,0.000,0.006,1,1
small_02,GA,1745.307,1745.307,0.000,0.196,3,3
small_02,SA,1745.307,1745.307,0.000,0.229,3,3
small_03,NN,2463.416,1930.889,27.579,0.000,1,1
small_03,MILP,1930.889,1930.889,0.000,4.478,1,1
small_03,B&B,1930.889,1930.889,0.000,0.003,1,1
small_03,GA,1930.889,1930.889,0.000,0.214,3,3
small_03,SA,1930.889,1930.889,0.000,0.283,3,3
small_04,NN,1933.128,1613.696,19.795,0.000,1,1
small_04,MILP,1613.696,1613.696,0.000,4.200,1,1
small_04,B&B,1613.696,1613.696,0.000,0.005,1,1
small_04,GA,1613.696,1613.696,0.000,0.525,3,3
small_04,SA,1613.696,1613.696,0.000,0.601,3,3
